   Ion         dE/dx       dE/dx     Projected   Longitudinal   Lateral
  Energy       Elec.      Nuclear      Range      Straggling   Straggling
  (MeV/u)     (MeV/um)   (MeV/um)      (um)          (um)        (um)
------------  ---------- ----------- -----------  -----------  -----------
4.3750e+01   8.962E-02  4.228E-05    4.31E+03	170.63E+00    26.73E+00
5.0000e+01   8.050E-02  3.744E-05    5.49E+03	238.66E+00    33.85E+00
5.6250e+01   7.327E-02  3.363E-05    6.79E+03	301.70E+00    41.68E+00
6.2500e+01   6.740E-02  3.055E-05    8.21E+03	362.93E+00    50.20E+00
6.8750e+01   6.253E-02  2.800E-05    9.75E+03	423.56E+00    59.37E+00
7.5000e+01   5.843E-02  2.586E-05   11.40E+03	484.18E+00    69.18E+00
8.1250e+01   5.492E-02  2.404E-05   13.17E+03	545.06E+00    79.60E+00
8.7500e+01   5.189E-02  2.246E-05   15.04E+03	606.37E+00    90.61E+00
9.3750e+01   4.923E-02  2.109E-05   17.02E+03	668.17E+00   102.19E+00
1.0000e+02   4.690E-02  1.988E-05   19.10E+03	730.50E+00   114.32E+00
1.0625e+02   4.482E-02  1.881E-05   21.28E+03	793.36E+00   126.98E+00
1.1250e+02   4.296E-02  1.785E-05   23.56E+03	856.75E+00   140.16E+00
1.2500e+02   3.978E-02  1.620E-05   28.40E+03	  1.10E+03   168.02E+00
1.4062e+02   3.656E-02  1.454E-05   34.96E+03	  1.44E+03   205.48E+00
1.5625e+02   3.396E-02  1.320E-05   42.05E+03	  1.75E+03   245.65E+00
1.7188e+02   3.181E-02  1.209E-05   49.66E+03	  2.06E+03   288.33E+00
1.8750e+02   3.002E-02  1.116E-05   57.75E+03	  2.36E+03   333.34E+00
2.0312e+02   2.849E-02  1.037E-05   66.29E+03	  2.65E+03   380.51E+00
2.1875e+02   2.717E-02  9.686E-06   75.28E+03	  2.94E+03   429.69E+00
2.3438e+02   2.603E-02  9.090E-06   84.68E+03	  3.23E+03   480.72E+00
2.5000e+02   2.502E-02  8.565E-06   94.47E+03	  3.51E+03   533.49E+00
2.8125e+02   2.334E-02  7.683E-06  115.16E+03	  4.58E+03   643.76E+00
3.1250e+02   2.200E-02  6.971E-06  137.23E+03	  5.54E+03   759.58E+00
3.4375e+02   2.090E-02  6.384E-06  160.54E+03	  6.45E+03   880.20E+00
3.7500e+02   1.999E-02  5.890E-06  185.00E+03	  7.32E+03     1.00E+03
4.0625e+02   1.922E-02  5.470E-06  210.51E+03	  8.17E+03     1.13E+03
4.3750e+02   1.856E-02  5.108E-06  236.98E+03	  8.99E+03     1.26E+03
5.0000e+02   1.751E-02  4.514E-06  292.46E+03	 11.94E+03     1.53E+03
5.6250e+02   1.670E-02  4.047E-06  350.95E+03	 14.53E+03     1.81E+03
6.2500e+02   1.606E-02  3.671E-06  412.01E+03	 16.90E+03     2.09E+03
